Season,Date,Block,Irrigation,Cultivar,Inoculum,Plant,Roots_Mp,Roots_none,Total_Roots,Percent_Roots_Mp,Crown_Mp,Crown_None,Total_Crown,Percent_Crown_Mp,Random,Stored,New_Name,notes
2020,6-28-2021,4,High,Monterey,Control,13,NA,NA,NA,NA,4,0,8,50,no,,,
2020,6-28-2021,4,High,Monterey,Inoculated,1,NA,NA,NA,NA,4,0,8,50,no,,,
2020,6-28-2021,4,High,Monterey,Inoculated,13,NA,NA,NA,NA,4,0,8,50,no,,,
2020,6-28-2021,4,Low,Fronteras,Control,1,NA,NA,NA,NA,4,0,8,50,no,,,
2020,6-28-2021,4,Low,Fronteras,Inoculated,9,NA,NA,NA,NA,4,0,8,50,no,,,
2020,6-28-2021,4,Low,Monterey,Inoculated,1,NA,NA,NA,NA,4,0,8,50,no,,,
2020,11-19-2020,1,Optimal,Monterey,Inoculated,15,2,0,20,10,3,0,8,37.5,yes,,,
2020,5-31-2021,4,High,Monterey,Control,22,0,0,20,0,3,0,8,37.5,yes,yes (in process),,
2020,5-31-2021,4,Low,Monterey,Control,19,0,0,20,0,3,0,8,37.5,yes,yes (in process),,
2020,6-14-2021,2,Low,Fronteras,Control,27,0,0,20,0,3,0,8,37.5,no,yes (in process),VSP-0617,
2020,6-28-2021,1,Low,Fronteras,Control,1,NA,NA,NA,NA,3,0,8,37.5,no,"in process, bleach dilution made",bleach solution plates made,
2020,6-28-2021,2,High,Fronteras,Control,6,NA,NA,NA,NA,3,0,8,37.5,no,,,
2020,6-28-2021,3,Low,Monterey,Inoculated,6,4,0,20,20,3,0,8,37.5,yes,"in process, bleach dilution made",VSP-0699-MAph-FRan,"crown accidentally plated on 2 NP-10 and roots on 1 PDA+++, 3 NP-10"
2020,6-28-2021,4,High,Fronteras,Inoculated,13,NA,NA,NA,NA,3,0,8,37.5,no,,,
2020,11-19-2020,2,Optimal,Fronteras,Inoculated,26,0,0,20,0,2,0,8,25,yes,yes,,
