date,eventlength_low,eventlength_opt,eventlength_high,flowmeter_low_before,flowmeter_low_after,deliver_low_gal,deliver_low_in,recommend_low_in,event_low_id,flowmeter_optimal_before,flowmeter_optimal_after,deliver_optimal_gal,deliver_optimal_in,recommend_optimal_in,flowmeter_high_before,flowmeter_high_after,deliver_high_gal,deliver_high_in,recommend_high_in
12-05-2019,0,0,5,,,0,0.00,0,,1114,1114,0,0.00,,1217,1219,20,0.04,0.02
12-09-2019,0,10,5,,,0,0.00,0,,1114,1117,30,0.06,0.038,1223,1225,20,0.04,0.02
12-10-2019,0,0,20,,,0,0.00,0,,1117,1117,0,0.00,,1225,1230,50,0.09,0.079
12-11-2019,0,30,30,,,0,0.00,0,,1117,1125,80,0.15,0.12,1230,1236,60,0.11,0.12
12-12-2019,0,0,30,,,0,0.00,0,,1125,1125,0,0.00,,1236,1242,60,0.11,0.12
12-13-2019,0,45,45,,,0,0.00,0,,1125,1137,120,0.23,0.18,1242,1250,80,0.15,0.18
12-15-2019,0,0,20,,,0,0.00,0,,1137,1137,0,0.00,,1250,1252,20,0.04,0.072
12-16-2019,0,30,30,,,0,0.00,0,,1137,1144,70,0.13,0.12,1252,1258,60,0.11,0.12
12-17-2019,0,0,60,,,0,0.00,0,,1144,1144,0,0.00,,1258,1270,120,0.23,0.24
12-18-2019,0,60,40,,,0,0.00,0,,1144,1161,170,0.32,0.24,1270,1278,80,0.15,0.158
12-19-2019,0,0,20,,,0,0.00,0,,1161,1161,0,0.00,,1278,1282,40,0.08,0.079
12-20-2019,0,60,20,,,0,0.00,0,,1161,1177,160,0.30,0.24,1282,1286,40,0.08,0.079
12-21-2019,0,0,20,,,0,0.00,0,,1177,1177,0,0.00,,1286,1293,70,0.13,0.079
12-22-2019,0,0,20,,,0,0.00,0,,1177,1177,0,0.00,,1293,1300,70,0.13,0.079
12-27-2019,0,0,20,,,0,0.00,0,,1177,1177,0,0.00,,1300,1304,40,0.08,0.072
12-28-2019,0,40,20,,,0,0.00,0,,1177,1184,70,0.13,0.144,1304,1307,30,0.06,0.079
12-30-2019,0,60,30,,,0,0.00,0,,1184,1196,120,0.23,0.24,1307,1310,30,0.06,0.12
12-31-2019,0,0,20,,,0,0.00,0,,1196,1196,0,0.00,,1310,1312,20,0.04,0.079
1-1-2020,0,0,20,,,0,0.00,0,,1196,1196,0,0.00,,1312,1314,20,0.04,0.079
1-2-2020,0,45,45,,,0,0.00,0,,1196,1207,110,0.21,0.18,1314,1322,80,0.15,0.18
1-3-2020,0,0,60,,,0,0.00,0,,1207,1207,0,0.00,,1322,1332,100,0.19,0.24
1-4-2020,0,90,30,,,0,0.00,0,,1207,1241,340,0.64,0.36,1332,1337,50,0.09,0.12
1-5-2020,0,0,30,,,0,0.00,0,,1241,1241,0,0.00,,1337,1342,50,0.09,0.12
1-6-2020,0,0,30,,,0,0.00,0,,1241,1241,0,0.00,,1342,1348,60,0.11,0.12
1-7-2020,0,60,30,,,0,0.00,0,,1241,1256,150,0.28,0.24,1348,1353,50,0.09,0.12
1-8-2020,0,0,30,,,0,0.00,0,,1256,1256,0,0.00,,1353,1359,60,0.11,0.12
1-9-2020,0,0,20,,,0,0.00,0,,1256,1256,0,0.00,,1359,1362,30,0.06,0.079
1-10-2020,0,90,30,,,0,0.00,0,,1256,1278,220,0.42,0.36,1362,1368,60,0.11,0.12
1-11-2020,0,0,20,,,0,0.00,0,,1278,1278,0,0.00,,1368,1374,60,0.11,0.079
1-12-2020,0,0,20,,,0,0.00,0,,1278,1278,0,0.00,,1374,1381,70,0.13,0.079
1-13-2020,0,60,30,,,0,0.00,0,,1278,1293,150,0.28,0.24,1381,1386,50,0.09,0.12
1-14-2020,0,0,20,,,0,0.00,0,,1293,1293,0,0.00,,1386,1390,40,0.08,0.072
1-15-2020,0,0,20,,,0,0.00,0,,1293,1293,0,0.00,,1390,1394,40,0.08,0.072
1-16-2020,0,60,20,,,0,0.00,0,,1293,1308,150,0.28,0.24,1394,1398,40,0.08,0.072
1-17-2020,0,0,20,,,0,0.00,0,,1308,1308,0,0.00,,1398,1402,40,0.08,0.072
1-18-2020,0,0,20,,,0,0.00,0,,1308,1308,0,0.00,,1402,1406,40,0.08,0.072
1-19-2020,0,60,20,,,0,0.00,0,,1308,1314,60,0.11,0.24,1406,1410,40,0.08,0.072
1-20-2020,0,0,35,,,0,0.00,0,,1314,1314,0,0.00,,1410,1415,50,0.09,0.139
1-21-2020,0,60,20,,,0,0.00,0,,1314,1328,140,0.26,0.24,1415,1419,40,0.08,0.072
1-22-2020,0,0,20,,,0,0.00,0,,1328,1328,0,0.00,,1419,1423,40,0.08,0.072
1-23-2020,0,0,20,,,0,0.00,0,,1329,1329,0,0.00,,1423,1427,40,0.08,0.072
